Title,Caption,Sentiment,Emotion,Desire,Inference Sequence
Overweight man and woman jogging in the city,"An overweight Hispanic woman and a young mixed race Hispanic and Caucasian man exercising together outdoors in an urban setting, running or jogging. They are smiling, looking at each other as they exercise.",neutral,neutral,none,S-E-D
Brazilian sporty friends walking on road against sky,Full length of sporty friends walking on road against sky,neutral,neutral,none,S-E-D
You have one new message,Young beautiful woman looking at the screen of a laptop and smiling,neutral,neutral,none,E-D-S
Laughing man and two women with smartphone by the sea,Laughing man and two women with smartphone by the sea,positive,happiness,social-contact,D-S-E
Dancing young woman wearing yellow cap and dress,Dancing young woman wearing yellow cap and dress,positive,happiness,none,S-E-D
Young women studying / working in home office,"Young women , revising , studying , working using books , writing and using the computer in home office",neutral,neutral,none,S-E-D
Couple preparing food in kitchen,Couple preparing food in the kitchen of their cozy loft apartment,positive,happiness,romance,D-S-E
Portrait of a senior man looking at camera,Portrait of a senior man looking at camera,positive,happiness,none,S-E-D
Multi-ethnic joggers running,Multi-ethnic joggers running,neutral,neutral,none,D-S-E
Outdoor portrait of angry women with her boyfriend in the front,Outdoor portrait of angry women with her boyfriend standing in the front. Young couple braking up relationship. Autumn season.,negative,sad,romance,D-S-E
Traveler woman floating on water resting during sunset moment after long day during travel vacations in the paradise islands of Indonesia with stunning colors in the sky and reflections on water.,Travel vacations in Gili Islands,neutral,neutral,none,S-E-D
Boyfriend proposing marriage to girlfriend while kneeling at beach against sea,"Boyfriend proposing marriage to girlfriend while kneeling at beach against sea. Shot in California, San Diego",positive,happiness,romance,D-S-E
"Browsing all day, every day",Cropped shot of a handsome young man using a tablet while chilling on the sofa at home,neutral,neutral,none,S-E-D
Children on a school field trip in nature,"Children and their teacher, looking at an organic vegetable garden on a school field trip in nature",positive,happiness,curiosity,D-S-E
Taking their date to the top of the mountain,Shot of a couple going for a hike up the mountain,positive,happiness,romance,D-S-E
Businessman using digital tablet,Smiling businessman working in his office,positive,happiness,none,E-S-D
Girl pulling faces,Girl pulling faces,negative,disgust,none,E-S-D
Frustrated Man Shouting While Holding Mobile Phone Against Wall,Frustrated Man Shouting While Holding Mobile Phone Against Wall,negative,anger,none,S-E-D
Surprised young woman holding a cellphone,Surprised young woman holding a cellphone,positive,happiness,none,E-S-D
The time to start getting fit is right now,Shot of a fit young woman doing yoga at home,positive,happiness,none,S-E-D
Happy Couple In Apartment,Happy Couple In Apartment,positive,happiness,romance,D-E-S
Pregnant mixed race woman exercising in field,Pregnant mixed race woman exercising in field,neutral,neutral,none,D-S-E
Kids rebellion led to strapping the father on wall,"Son and a daughter have hung their father on the wall with duct tape and keep him as a hostage while they are holding placards saying ""More TV"" and ""No more Broccoli""",negative,anger,vengeance,E-D-S
Jealous girlfriend woman looks at her boy's cell phone,Jealous girlfriend woman looks at her boy's cell phone,negative,sad,romance,D-S-E
Backlit teenager sitting in a dark indoor doorway in contemplation,Backlit teenager sitting in a dark indoor doorway in contemplation,negative,sad,tranquility,S-E-D
Office workers celebrating together,People in a startup business space celebrating a co-worker. Woman is being hugged by one of her co-worker.,positive,happiness,social-contact,D-S-E
"Grandfather, Son and grandson on couch at home","Grandfather, Son and grandson on couch at home",neutral,neutral,family,D-S-E
"New Jersey, Man sleeping in bed","New Jersey, Man sleeping in bed",neutral,neutral,none,S-E-D
Boy examining seed while standing in forest,Boy examining seed while standing in forest in New York,positive,happiness,curiosity,D-S-E
Little chef doesn't like the flavour,Front view of cute girl wearing an apron and making gestures of disappointment after tasting a weird flavour for a homemade recipe.,negative,disgust,none,S-D-E
Full length side view of happy woman running with her Pomeranian dog on footpath by building in city,Full length side view of happy woman running with her Pomeranian dog on footpath by building in city,neutral,neutral,none,D-S-E
Handsome Young Man Cheering - Isolated,Full length portrait of a handsome young man cheers with clenched fists. Vertical shot. Isolated on white.,positive,happiness,none,S-E-D
Young man working at home,Young man working at home,neutral,neutral,none,S-E-D
Little boy sitting on table crying,Little boy sitting on table crying,negative,fear,none,S-E-D
No way home,No way home,negative,fear,tranquility,S-D-E
Young woman preforms yoga in mountains in morning light,She is facing towards the sun,neutral,neutral,none,D-S-E
"Young woman sitting on couch, taking a nap","Young woman sitting on couch, taking a nap",neutral,neutral,none,D-S-E
Woman jumping out of rectangular opening of coloured wall,"People moving threw portals in different shapes, in minimalistic studio setting in vivid colours",positive,happiness,none,S-E-D
Laughing businessman with basketball on cell phone in penthouse,Laughing businessman with basketball on cell phone in penthouse,positive,happiness,none,S-E-D
Woman sitting on sofa with mug of coffee in bookstore reading a book,Woman sitting on sofa with mug of coffee reading a book,neutral,neutral,none,S-E-D
"Mature woman sitting on wondow sill, wrapped in blanket, reading book","Mature woman sitting on wondow sill, wrapped in blanket, reading book",neutral,neutral,none,S-E-D
"Man fishing at dock, holding beer bottle, side view","Man fishing at dock, holding beer bottle, side view",neutral,neutral,none,S-E-D
Sunny days are for friends and fun,Girlfriends enjoying together in a sunny day,positive,happiness,social-contact,S-D-E
Excited school girls during chemistry experiment,Diverse private school classmates are excited as foam overflows from beaker during chemistry experiment.,positive,happiness,curiosity,D-S-E
Relaxing bath.,Closeup of attractive mid 20's woman taking a long bath in a bathtub. She's slowly scrubbing off with a bath sponge and not planning to get out some time soon.,neutral,neutral,none,S-E-D
Woman and her dog walking on pavement in front of a metal facade,Woman and her dog walking on pavement in front of a metal facade,neutral,neutral,none,S-E-D
Teenager girl crying,Single teen girl crying while seeing happy teen couple kissing behind her.,negative,sad,romance,D-E-S
Happy mom carrying her little daughter,Happy mother and daughter playing and embracing at home,positive,happiness,family,D-S-E
Turkish family taking selfie,Turkish family taking selfie,positive,happiness,family,E-S-D
Family Life,Boy in his room sticking pins into a voodoo puppet.,negative,anger,vengeance,E-S-D
Make me the happiest man...,Young man kneeling in the park and asking his girlfriend to marry him,positive,happiness,romance,D-E-S
